store_id,item_id,volume_tier,model,mae,rmse,wmape,actual_sum,sum_abs_error
CA_1,FOODS_1_078,medium,sarima,0.7446688157458576,0.9103542426726638,1.0974066758360008,19.0,20.850726840884015
CA_1,FOODS_1_078,medium,prophet,0.7260486656541751,0.954003498775442,1.069966454648258,19.0,20.329362638316905
TX_1,HOUSEHOLD_1_515,medium,sarima,0.6992670485580893,0.8740925330594973,0.9789738679813252,20.0,19.5794773596265
TX_1,HOUSEHOLD_1_515,medium,prophet,0.7038450775061283,0.8695192839255951,0.9853831085085798,20.0,19.707662170171595
CA_1,FOODS_3_522,medium,sarima,1.1377318058848152,2.336993550371222,1.0276287278959622,31.0,31.856490564774823
CA_1,FOODS_3_522,medium,prophet,1.1199734925537188,2.368185303124582,1.011588961016262,31.0,31.359257791504128
TX_1,FOODS_3_571,medium,sarima,0.5982383278479427,0.6865347910394068,0.9853337164554352,17.0,16.750673179742396
TX_1,FOODS_3_571,medium,prophet,0.5965425527066458,0.7139169318131289,0.98254067504624,17.0,16.70319147578608
TX_1,HOUSEHOLD_1_490,medium,sarima,0.5419078415634211,0.6132301388391292,1.517341956377579,10.0,15.173419563775791
TX_1,HOUSEHOLD_1_490,medium,prophet,0.5200963877029133,0.6078464697108623,1.4562698855681573,10.0,14.562698855681573
CA_1,FOODS_3_243,medium,sarima,0.7141458659773422,0.7837003083215007,1.1762402498450342,17.0,19.99608424736558
CA_1,FOODS_3_243,medium,prophet,0.7327331268241497,0.7997585779481093,1.206854561828011,17.0,20.51652755107619
CA_1,FOODS_1_156,medium,sarima,1.0614166268380412,1.3511327676153695,0.6754469443514808,44.0,29.71966555146515
CA_1,FOODS_1_156,medium,prophet,1.1034930078572731,1.3981368886139691,0.7022228231819011,44.0,30.897804220003646
CA_1,HOUSEHOLD_1_360,medium,sarima,0.4837228553596497,0.4988126693426598,2.2573733250116987,6.0,13.544239950070192
CA_1,HOUSEHOLD_1_360,medium,prophet,0.4661567715608669,0.4761614647631327,2.175398267284045,6.0,13.052389603704272
CA_1,HOUSEHOLD_1_374,medium,sarima,0.8056581268440669,1.0878653717542115,1.0253830705288125,22.0,22.558427551633873
CA_1,HOUSEHOLD_1_374,medium,prophet,0.8010874292102115,1.0846091280152448,1.019565818994815,22.0,22.430448017885922
TX_1,HOUSEHOLD_1_014,medium,sarima,0.5838336703141868,0.6270553022848159,1.634734276879723,10.0,16.34734276879723
TX_1,HOUSEHOLD_1_014,medium,prophet,0.5223547547097358,0.5823672104927743,1.4625933131872604,10.0,14.625933131872603
TX_1,FOODS_2_348,medium,sarima,0.6001616970237901,0.6443692480973128,2.100565939583265,8.0,16.804527516666123
TX_1,FOODS_2_348,medium,prophet,0.6207349569066346,0.6523780643810628,2.172572349173221,8.0,17.38057879338577
TX_1,HOBBIES_1_089,medium,sarima,0.8394206539421077,1.0350525099629175,0.9401511324151606,25.0,23.503778310379015
TX_1,HOBBIES_1_089,medium,prophet,0.838271559445731,1.0290304457692834,0.9388641465792186,25.0,23.471603664480465
CA_1,FOODS_3_648,medium,sarima,0.881726329587773,1.5227888436823047,1.5430210767786028,16.0,24.688337228457645
CA_1,FOODS_3_648,medium,prophet,0.768382990030459,1.509207231476176,1.344670232553303,16.0,21.51472372085285
CA_1,HOUSEHOLD_1_485,medium,sarima,0.683272658516383,0.7878504877232888,1.0069281283399327,19.0,19.131634438458722
CA_1,HOUSEHOLD_1_485,medium,prophet,0.694997418867769,0.8077766745698449,1.024206722541975,19.0,19.459927728297533
TX_1,FOODS_3_684,medium,sarima,0.6893637290374338,0.8137376669732648,1.0159044427920076,19.0,19.302184413048145
TX_1,FOODS_3_684,medium,prophet,0.6885206187254539,0.8134436249623808,1.014661964437511,19.0,19.27857732431271
TX_1,FOODS_2_118,medium,sarima,1.3877200629249888,1.5347681505554691,1.1428282871146966,34.0,38.856161761899685
TX_1,FOODS_2_118,medium,prophet,1.2236339811447756,1.4388039533238253,1.0076985727074623,34.0,34.26175147205372
CA_1,HOBBIES_1_098,medium,sarima,0.7990474056379815,1.048819005828681,1.118666367893174,20.0,22.37332735786348
CA_1,HOBBIES_1_098,medium,prophet,0.8377600320762354,1.0705665207668214,1.1728640449067296,20.0,23.45728089813459
CA_1,FOODS_3_312,medium,sarima,0.8285831725264394,1.069867666625277,0.6628665380211516,35.0,23.200328830740304
CA_1,FOODS_3_312,medium,prophet,0.8122933498812018,1.059845312875178,0.6498346799049615,35.0,22.74421379667365
TX_1,FOODS_3_453,medium,sarima,0.3588005848102101,0.5130055603572765,1.4352023392408404,7.0,10.046416374685883
